ppm,700K,720K,740K,760K,780K,800K,820K,840K,860K,880K,900K,,
7.807807808,0.003341188,0.003325789,0.003310363,0.003295024,0.003279778,0.003264629,0.003249583,0.003234642,0.003219812,0.003205096,0.003190496,,0.003264822
7.957957958,0.003355557,0.003340145,0.003324707,0.003309355,0.003294095,0.003278932,0.003263871,0.003248916,0.003234071,0.003219339,0.003204724,,0.003279124
8.108108108,0.003370076,0.003354649,0.003339195,0.003323827,0.003308552,0.003293373,0.003278296,0.003263325,0.003248463,0.003233714,0.003219081,,0.003293565
8.258258258,0.003384746,0.003369301,0.003353829,0.003338444,0.003323151,0.003307954,0.003292859,0.003277869,0.003262989,0.003248221,0.003233569,,0.003308145
8.408408408,0.003399568,0.003384104,0.003368611,0.003353206,0.003337893,0.003322676,0.003307561,0.003292551,0.00327765,0.003262862,0.003248189,,0.003322867
8.558558559,0.003414544,0.003399057,0.003383543,0.003368115,0.00335278,0.003337541,0.003322404,0.003307372,0.003292449,0.003277639,0.003262943,,0.003337732
8.708708709,0.003429674,0.003414163,0.003398624,0.003383172,0.003367813,0.003352551,0.00333739,0.003322334,0.003307387,0.003292553,0.003277833,,0.003352742
8.858858859,0.00344496,0.003429422,0.003413857,0.003398379,0.003382994,0.003367706,0.003352519,0.003337438,0.003322466,0.003307606,0.003292861,,0.003367897
9.009009009,0.003460403,0.003444837,0.003429243,0.003413737,0.003398323,0.003383008,0.003367794,0.003352685,0.003337686,0.003322799,0.003308027,,0.0033832
9.159159159,0.003476004,0.003460407,0.003444783,0.003429247,0.003413804,0.003398458,0.003383215,0.003368078,0.00335305,0.003338134,0.003323334,,0.003398651
9.309309309,0.003491764,0.003476135,0.003460478,0.00344491,0.003429435,0.003414059,0.003398785,0.003383617,0.003368559,0.003353613,0.003338783,,0.003414252
9.459459459,0.003507685,0.003492021,0.00347633,0.003460728,0.00344522,0.003429811,0.003414505,0.003399305,0.003384215,0.003369237,0.003354376,,0.003430005
9.60960961,0.003523767,0.003508067,0.003492339,0.003476702,0.003461159,0.003445716,0.003430375,0.003415142,0.003400018,0.003385008,0.003370113,,0.00344591
9.75975976,0.003540011,0.003524273,0.003508508,0.003492833,0.003477254,0.003461774,0.003446398,0.003431129,0.003415971,0.003400926,0.003385998,,0.003461969
9.90990991,0.003556419,0.003540641,0.003524836,0.003509123,0.003493505,0.003477988,0.003462575,0.003447269,0.003432075,0.003416994,0.00340203,,0.003478184
10.06006006,0.003572991,0.003557172,0.003541326,0.003525572,0.003509915,0.003494358,0.003478906,0.003463563,0.00344833,0.003433213,0.003418212,,0.003494556
10.21021021,0.003589729,0.003573867,0.003557978,0.003542182,0.003526484,0.003510886,0.003495395,0.003480011,0.00346474,0.003449584,0.003434544,,0.003511085
10.36036036,0.003606634,0.003590727,0.003574794,0.003558955,0.003543213,0.003527574,0.00351204,0.003496616,0.003481305,0.003466108,0.00345103,,0.003527774
10.51051051,0.003623706,0.003607754,0.003591775,0.00357589,0.003560105,0.003544422,0.003528846,0.003513379,0.003498026,0.003482788,0.003467669,,0.003544623
10.66066066,0.003640948,0.003624948,0.003608922,0.003592991,0.00357716,0.003561432,0.003545811,0.003530301,0.003514905,0.003499625,0.003484464,,0.003561634
10.81081081,0.003658359,0.00364231,0.003626236,0.003610257,0.003594379,0.003578605,0.003562939,0.003547384,0.003531943,0.00351662,0.003501415,,0.003578808
10.96096096,0.003675942,0.003659843,0.003643718,0.00362769,0.003611764,0.003595943,0.00358023,0.003564629,0.003549143,0.003533774,0.003518525,,0.003596147
11.11111111,0.003693697,0.003677546,0.00366137,0.003645292,0.003629316,0.003613446,0.003597685,0.003582037,0.003566504,0.00355109,0.003535795,,0.003613652
11.26126126,0.003711625,0.003695422,0.003679193,0.003663064,0.003647037,0.003631117,0.003615307,0.00359961,0.003584029,0.003568568,0.003553227,,0.003631325
11.41141141,0.003729728,0.003713471,0.003697189,0.003681007,0.003664928,0.003648957,0.003633096,0.00361735,0.00360172,0.00358621,0.003570821,,0.003649166
11.56156156,0.003748008,0.003731695,0.003715358,0.003699122,0.00368299,0.003666966,0.003651054,0.003635257,0.003619577,0.003604017,0.00358858,,0.003667177
11.71171171,0.003766464,0.003750095,0.003733702,0.003717411,0.003701224,0.003685147,0.003669183,0.003653333,0.003637602,0.003621992,0.003606505,,0.003685359
11.86186186,0.003785099,0.003768672,0.003752222,0.003735874,0.003719633,0.003703501,0.003687483,0.00367158,0.003655797,0.003640135,0.003624597,,0.003703715
12.01201201,0.003803913,0.003787428,0.00377092,0.003754515,0.003738217,0.00372203,0.003705956,0.00369,0.003674163,0.003658449,0.003642858,,0.003722245
12.16216216,0.003822909,0.003806364,0.003789797,0.003773333,0.003756978,0.003740734,0.003724605,0.003708593,0.003692702,0.003676934,0.003661291,,0.00374095
12.31231231,0.003842087,0.003825482,0.003808854,0.003792331,0.003775917,0.003759615,0.003743429,0.003727361,0.003711415,0.003695592,0.003679895,,0.003759833
12.46246246,0.003861449,0.003844782,0.003828093,0.00381151,0.003795036,0.003778676,0.003762432,0.003746307,0.003730304,0.003714426,0.003698674,,0.003778895
12.61261261,0.003880997,0.003864267,0.003847516,0.003830871,0.003814337,0.003797917,0.003781614,0.003765431,0.003749371,0.003733436,0.003717628,,0.003798138
12.76276276,0.003900731,0.003883938,0.003867123,0.003850416,0.00383382,0.00381734,0.003800977,0.003784735,0.003768616,0.003752624,0.003736759,,0.003817562
12.91291291,0.003920654,0.003903796,0.003886917,0.003870147,0.003853488,0.003836946,0.003820522,0.003804221,0.003788043,0.003771992,0.00375607,,0.00383717
13.06306306,0.003940766,0.003923843,0.003906899,0.003890064,0.003873343,0.003856738,0.003840252,0.00382389,0.003807652,0.003791542,0.003775561,,0.003856964
13.21321321,0.003961069,0.00394408,0.00392707,0.003910171,0.003893385,0.003876716,0.003860169,0.003843744,0.003827445,0.003811275,0.003795235,,0.003876944
13.36336336,0.003981566,0.00396451,0.003947433,0.003930467,0.003913616,0.003896884,0.003880272,0.003863785,0.003847425,0.003831193,0.003815092,,0.003897113
13.51351351,0.004002257,0.003985133,0.003967988,0.003950956,0.003934039,0.003917241,0.003900566,0.003884015,0.003867592,0.003851298,0.003835136,,0.003917472
13.66366366,0.004023145,0.004005952,0.003988739,0.003971638,0.003954655,0.003937791,0.00392105,0.003904435,0.003887948,0.003871592,0.003855368,,0.003938023
13.81381381,0.00404423,0.004026968,0.004009685,0.003992516,0.003975465,0.003958534,0.003941728,0.003925047,0.003908496,0.003892076,0.003875789,,0.003958768
13.96396396,0.004065515,0.004048182,0.00403083,0.004013592,0.003996472,0.003979474,0.0039626,0.003945854,0.003929237,0.003912753,0.003896402,,0.003979709
14.11411411,0.004087002,0.004069598,0.004052175,0.004034866,0.004017677,0.004000611,0.003983669,0.003966856,0.003950174,0.003933624,0.003917209,,0.004000847
14.26426426,0.004108692,0.004091216,0.004073721,0.004056342,0.004039083,0.004021947,0.004004937,0.003988056,0.003971307,0.003954691,0.003938211,,0.004022185
14.41441441,0.004130587,0.004113039,0.004095471,0.00407802,0.00406069,0.004043484,0.004026406,0.004009456,0.003992639,0.003975957,0.003959411,,0.004043724
14.56456456,0.004152689,0.004135068,0.004117427,0.004099904,0.004082502,0.004065225,0.004048077,0.004031058,0.004014173,0.003997423,0.00398081,,0.004065467
14.71471471,0.004175001,0.004157305,0.00413959,0.004121994,0.00410452,0.004087172,0.004069952,0.004052864,0.004035909,0.004019091,0.00400241,,0.004087415
14.86486486,0.004197523,0.004179752,0.004161963,0.004144293,0.004126746,0.004109326,0.004092034,0.004074875,0.004057851,0.004040963,0.004024214,,0.00410957
15.01501502,0.004220258,0.004202412,0.004184548,0.004166803,0.004149182,0.004131689,0.004114325,0.004097095,0.00408,0.004063042,0.004046224,,0.004131934
15.16516517,0.004243209,0.004225287,0.004207346,0.004189526,0.004171831,0.004154263,0.004136827,0.004119525,0.004102358,0.00408533,0.004068442,,0.004154511
15.31531532,0.004266377,0.004248378,0.00423036,0.004212464,0.004194694,0.004177052,0.004159542,0.004142166,0.004124928,0.004107828,0.004090869,,0.004177301
15.46546547,0.004289764,0.004271687,0.004253592,0.004235619,0.004217773,0.004200056,0.004182472,0.004165023,0.004147711,0.00413054,0.00411351,,0.004200306
15.61561562,0.004313372,0.004295218,0.004277044,0.004258994,0.004241071,0.004223279,0.004205619,0.004188096,0.004170711,0.004153466,0.004136364,,0.00422353
15.76576577,0.004337205,0.004318971,0.004300719,0.004282591,0.004264591,0.004246722,0.004228987,0.004211388,0.004193929,0.004176611,0.004159436,,0.004246975
15.91591592,0.004361263,0.00434295,0.004324619,0.004306412,0.004288334,0.004270387,0.004252576,0.004234902,0.004217367,0.004199975,0.004182727,,0.004270642
16.06606607,0.00438555,0.004367157,0.004348746,0.00433046,0.004312303,0.004294278,0.004276389,0.004258639,0.004241029,0.004223562,0.004206239,,0.004294534
16.21621622,0.004410068,0.004391595,0.004373102,0.004354736,0.0043365,0.004318397,0.00430043,0.004282602,0.004264916,0.004247373,0.004229975,,0.004318654
16.36636637,0.004434819,0.004416264,0.00439769,0.004379243,0.004360927,0.004342745,0.0043247,0.004306794,0.004289031,0.004271412,0.004253938,,0.004343004
16.51651652,0.004459806,0.004441169,0.004422513,0.004403985,0.004385588,0.004367326,0.004349201,0.004331217,0.004313376,0.00429568,0.00427813,,0.004367586
16.66666667,0.004485031,0.004466312,0.004447573,0.004428963,0.004410484,0.004392142,0.004373937,0.004355874,0.004337954,0.00432018,0.004302554,,0.004392403
16.81681682,0.004510497,0.004491694,0.004472872,0.004454179,0.004435619,0.004417195,0.00439891,0.004380767,0.004362768,0.004344916,0.004327212,,0.004417458
16.96696697,0.004536206,0.00451732,0.004498414,0.004479638,0.004460995,0.004442489,0.004424123,0.004405899,0.004387821,0.004369889,0.004352107,,0.004442753
17.11711712,0.004562162,0.004543191,0.0045242,0.00450534,0.004486614,0.004468025,0.004449577,0.004431273,0.004413114,0.004395102,0.004377241,,0.004468291
17.26726727,0.004588366,0.00456931,0.004550234,0.004531289,0.004512479,0.004493808,0.004475277,0.004456891,0.00443865,0.004420559,0.004402618,,0.004494074
17.41741742,0.004614822,0.00459568,0.004576519,0.004557489,0.004538594,0.004519838,0.004501225,0.004482756,0.004464434,0.004446261,0.004428239,,0.004520106
17.56756757,0.004641532,0.004622304,0.004603056,0.00458394,0.004564961,0.00454612,0.004527423,0.004508871,0.004490466,0.004472212,0.004454109,,0.00454639
17.71771772,0.0046685,0.004649185,0.00462985,0.004610647,0.004591582,0.004572657,0.004553875,0.004535239,0.004516751,0.004498414,0.00448023,,0.004572927
17.86786787,0.004695727,0.004676325,0.004656902,0.004637613,0.004618461,0.00459945,0.004580583,0.004561862,0.004543291,0.004524871,0.004506604,,0.004599722
18.01801802,0.004723218,0.004703728,0.004684217,0.00466484,0.004645601,0.004626503,0.00460755,0.004588745,0.004570089,0.004551585,0.004533235,,0.004626776
18.16816817,0.004750976,0.004731397,0.004711797,0.004692331,0.004673005,0.00465382,0.004634781,0.004615889,0.004597148,0.00457856,0.004560126,,0.004654094
18.31831832,0.004779002,0.004759335,0.004739645,0.00472009,0.004700675,0.004681403,0.004662276,0.004643299,0.004624472,0.004605798,0.00458728,,0.004681678
18.46846847,0.004807302,0.004787544,0.004767764,0.00474812,0.004728616,0.004709255,0.004690041,0.004670976,0.004652063,0.004633304,0.0046147,,0.004709532
18.61861862,0.004835877,0.004816028,0.004796158,0.004776424,0.00475683,0.00473738,0.004718078,0.004698925,0.004679924,0.004661079,0.00464239,,0.004737658
18.76876877,0.004864731,0.004844791,0.004824829,0.004805004,0.00478532,0.004765781,0.004746389,0.004727148,0.00470806,0.004689127,0.004670352,,0.00476606
18.91891892,0.004893867,0.004873836,0.004853782,0.004833866,0.004814091,0.004794461,0.00477498,0.00475565,0.004736473,0.004717452,0.00469859,,0.004794741
19.06906907,0.004923289,0.004903166,0.004883019,0.004863011,0.004843145,0.004823424,0.004803852,0.004784432,0.004765167,0.004746057,0.004727107,,0.004823705
19.21921922,0.004953,0.004932785,0.004912545,0.004892444,0.004872485,0.004852673,0.00483301,0.0048135,0.004794144,0.004774946,0.004755907,,0.004852955
19.36936937,0.004983004,0.004962695,0.004942362,0.004922167,0.004902116,0.004882211,0.004862457,0.004842855,0.00482341,0.004804122,0.004784993,,0.004882495
19.51951952,0.005013305,0.004992902,0.004972473,0.004952185,0.00493204,0.004912043,0.004892196,0.004872503,0.004852966,0.004833588,0.004814369,,0.004912327
19.66966967,0.005043905,0.005023407,0.005002884,0.004982501,0.004962262,0.004942172,0.004922232,0.004902446,0.004882818,0.004863348,0.004844039,,0.004942457
19.81981982,0.005074809,0.005054216,0.005033597,0.005013119,0.004992786,0.004972601,0.004952567,0.004932689,0.004912968,0.004893406,0.004874006,,0.004972887
19.96996997,0.00510602,0.005085332,0.005064617,0.005044043,0.005023614,0.005003334,0.004983207,0.004963234,0.00494342,0.004923766,0.004904274,,0.005003621
20.12012012,0.005137543,0.005116758,0.005095946,0.005075276,0.005054751,0.005034376,0.005014153,0.004994087,0.004974178,0.004954431,0.004934846,,0.005034664
