ppm,600K,640K,680K,720K,760K,800K,840K,880K,920K,960K,1000K,,
8.558558559,0.003492177,0.003460975,0.003429961,0.003399057,0.003368115,0.003337541,0.003307372,0.003277639,0.003248208,0.003219056,0.003190411,,0.003338209
8.708708709,0.003507434,0.00347618,0.003445115,0.003414163,0.003383172,0.003352551,0.003322334,0.003292553,0.003263073,0.003233871,0.003205176,,0.003353218
8.858858859,0.003522859,0.003491547,0.003460427,0.003429422,0.003398379,0.003367706,0.003337438,0.003307606,0.003278074,0.003248819,0.003220071,,0.003368374
9.009009009,0.003538452,0.003507077,0.003475899,0.003444837,0.003413737,0.003383008,0.003352685,0.003322799,0.003293213,0.003263902,0.003235098,,0.003383678
9.159159159,0.003554214,0.003522772,0.003491531,0.003460407,0.003429247,0.003398458,0.003368078,0.003338134,0.003308491,0.003279122,0.003250259,,0.00339913
9.309309309,0.003570145,0.003538633,0.003507324,0.003476135,0.00344491,0.003414059,0.003383617,0.003353613,0.003323909,0.003294479,0.003265555,,0.003414733
9.459459459,0.003586247,0.003554659,0.003523279,0.003492021,0.003460728,0.003429811,0.003399305,0.003369237,0.00333947,0.003309976,0.003280989,,0.003430488
9.60960961,0.003602519,0.003570853,0.003539397,0.003508067,0.003476702,0.003445716,0.003415142,0.003385008,0.003355174,0.003325614,0.003296561,,0.003446395
9.75975976,0.003618964,0.003587214,0.003555679,0.003524273,0.003492833,0.003461774,0.003431129,0.003400926,0.003371024,0.003341395,0.003312273,,0.003462457
9.90990991,0.00363558,0.003603744,0.003572127,0.003540641,0.003509123,0.003477988,0.003447269,0.003416994,0.00338702,0.003357319,0.003328128,,0.003478674
10.06006006,0.00365237,0.003620444,0.003588741,0.003557172,0.003525572,0.003494358,0.003463563,0.003433213,0.003403165,0.00337339,0.003344125,,0.003495048
10.21021021,0.003669334,0.003637314,0.003605522,0.003573867,0.003542182,0.003510886,0.003480011,0.003449584,0.003419459,0.003389608,0.003360268,,0.003511581
10.36036036,0.003686472,0.003654356,0.003622472,0.003590727,0.003558955,0.003527574,0.003496616,0.003466108,0.003435904,0.003405974,0.003376557,,0.003528272
10.51051051,0.003703785,0.00367157,0.00363959,0.003607754,0.00357589,0.003544422,0.003513379,0.003482788,0.003452502,0.003422491,0.003392995,,0.003545125
10.66066066,0.003721275,0.003688957,0.003656879,0.003624948,0.003592991,0.003561432,0.003530301,0.003499625,0.003469255,0.00343916,0.003409582,,0.00356214
10.81081081,0.003738942,0.003706519,0.00367434,0.00364231,0.003610257,0.003578605,0.003547384,0.00351662,0.003486163,0.003455983,0.00342632,,0.003579318
10.96096096,0.003756787,0.003724255,0.003691973,0.003659843,0.00362769,0.003595943,0.003564629,0.003533774,0.003503228,0.00347296,0.003443211,,0.00359666
11.11111111,0.003774811,0.003742169,0.003709779,0.003677546,0.003645292,0.003613446,0.003582037,0.00355109,0.003520453,0.003490094,0.003460257,,0.003614169
11.26126126,0.003793014,0.003760259,0.003727761,0.003695422,0.003663064,0.003631117,0.00359961,0.003568568,0.003537837,0.003507386,0.003477459,,0.003631845
11.41141141,0.003811399,0.003778528,0.003745918,0.003713471,0.003681007,0.003648957,0.00361735,0.00358621,0.003555383,0.003524838,0.003494818,,0.00364969
11.56156156,0.003829965,0.003796976,0.003764253,0.003731695,0.003699122,0.003666966,0.003635257,0.003604017,0.003573093,0.003542451,0.003512337,,0.003667705
11.71171171,0.003848714,0.003815605,0.003782766,0.003750095,0.003717411,0.003685147,0.003653333,0.003621992,0.003590968,0.003560227,0.003530016,,0.003685891
11.86186186,0.003867647,0.003834415,0.003801458,0.003768672,0.003735874,0.003703501,0.00367158,0.003640135,0.003609009,0.003578168,0.003547858,,0.003704251
12.01201201,0.003886765,0.003853409,0.003820331,0.003787428,0.003754515,0.00372203,0.00369,0.003658449,0.003627218,0.003596274,0.003565864,,0.003722785
12.16216216,0.003906069,0.003872587,0.003839387,0.003806364,0.003773333,0.003740734,0.003708593,0.003676934,0.003645597,0.003614548,0.003584037,,0.003741495
12.31231231,0.003925561,0.00389195,0.003858626,0.003825482,0.003792331,0.003759615,0.003727361,0.003695592,0.003664148,0.003632992,0.003602376,,0.003760382
12.46246246,0.003945241,0.003911501,0.00387805,0.003844782,0.00381151,0.003778676,0.003746307,0.003714426,0.003682871,0.003651607,0.003620885,,0.003779448
12.61261261,0.003965112,0.003931239,0.00389766,0.003864267,0.003830871,0.003797917,0.003765431,0.003733436,0.003701769,0.003670395,0.003639565,,0.003798694
12.76276276,0.003985173,0.003951167,0.003917458,0.003883938,0.003850416,0.00381734,0.003784735,0.003752624,0.003720844,0.003689357,0.003658418,,0.003818123
