ppm,797.5K,798K,798.5K,799K,799.5K,800K,800.5K,801K,801.5K,802K,802.5K
19.36936937,0.004770113,0.004884195,0.004884092,0.004883203,0.004882707,0.004882211,0.004881716,0.00488122,0.004880724,0.004880229,0.004879734
19.51951952,0.00479926,0.004914036,0.004913933,0.004913039,0.004912541,0.004912043,0.004911545,0.004911047,0.004910549,0.004910051,0.004909554
19.66966967,0.004828697,0.004944174,0.004944071,0.004943172,0.004942672,0.004942172,0.004941671,0.004941171,0.004940671,0.004940171,0.004939671
19.81981982,0.004858428,0.004974612,0.004974509,0.004973606,0.004973103,0.004972601,0.004972098,0.004971595,0.004971093,0.00497059,0.004970088
19.96996997,0.004888457,0.005005355,0.005005252,0.005004344,0.005003839,0.005003334,0.005002829,0.005002324,0.005001819,0.005001314,0.00500081
20.12012012,0.004918787,0.005036406,0.005036304,0.005035391,0.005034883,0.005034376,0.005033868,0.005033361,0.005032854,0.005032346,0.005031839
20.27027027,0.004949422,0.00506777,0.005067667,0.005066749,0.005066239,0.005065729,0.00506522,0.00506471,0.0050642,0.005063691,0.005063181
20.42042042,0.004980367,0.005099449,0.005099347,0.005098424,0.005097912,0.005097399,0.005096887,0.005096375,0.005095863,0.005095351,0.005094839
20.57057057,0.005011625,0.005131449,0.005131346,0.005130419,0.005129904,0.005129389,0.005128874,0.00512836,0.005127845,0.005127331,0.005126817
20.72072072,0.0050432,0.005163773,0.005163671,0.005162738,0.005162221,0.005161703,0.005161186,0.005160669,0.005160152,0.005159635,0.005159119
20.87087087,0.005075097,0.005196425,0.005196323,0.005195386,0.005194866,0.005194346,0.005193827,0.005193307,0.005192788,0.005192268,0.005191749
21.02102102,0.005107319,0.005229411,0.005229309,0.005228366,0.005227844,0.005227322,0.0052268,0.005226278,0.005225756,0.005225234,0.005224712
21.17117117,0.005139871,0.005262733,0.005262632,0.005261684,0.005261159,0.005260634,0.00526011,0.005259585,0.005259061,0.005258537,0.005258012
21.32132132,0.005172756,0.005296398,0.005296296,0.005295343,0.005294816,0.005294288,0.005293761,0.005293234,0.005292708,0.005292181,0.005291654
21.47147147,0.005205981,0.005330408,0.005330307,0.005329348,0.005328818,0.005328289,0.005327759,0.00532723,0.0053267,0.005326171,0.005325642
21.62162162,0.005239548,0.005364769,0.005364668,0.005363704,0.005363172,0.00536264,0.005362108,0.005361576,0.005361044,0.005360512,0.00535998
21.77177177,0.005273464,0.005399486,0.005399385,0.005398416,0.005397881,0.005397346,0.005396811,0.005396277,0.005395742,0.005395208,0.005394674
21.92192192,0.005307731,0.005434563,0.005434462,0.005433488,0.00543295,0.005432413,0.005431875,0.005431338,0.005430801,0.005430264,0.005429727
22.07207207,0.005342356,0.005470005,0.005469904,0.005468925,0.005468384,0.005467844,0.005467305,0.005466765,0.005466225,0.005465685,0.005465146
22.22222222,0.005377342,0.005505817,0.005505717,0.005504731,0.005504189,0.005503646,0.005503104,0.005502561,0.005502019,0.005501477,0.005500934
22.37237237,0.005412695,0.005542004,0.005541904,0.005540913,0.005540368,0.005539823,0.005539278,0.005538732,0.005538188,0.005537643,0.005537098
22.52252252,0.005448421,0.005578572,0.005578472,0.005577475,0.005576927,0.00557638,0.005575832,0.005575284,0.005574736,0.005574189,0.005573641
22.67267267,0.005484523,0.005615525,0.005615425,0.005614423,0.005613872,0.005613322,0.005612771,0.005612221,0.005611671,0.00561112,0.00561057
22.82282282,0.005521007,0.005652868,0.005652769,0.005651761,0.005651208,0.005650655,0.005650102,0.005649548,0.005648996,0.005648443,0.00564789
22.97297297,0.005557879,0.005690608,0.005690509,0.005689496,0.00568894,0.005688384,0.005687828,0.005687272,0.005686717,0.005686161,0.005685605
23.12312312,0.005595144,0.00572875,0.005728651,0.005727632,0.005727073,0.005726515,0.005725956,0.005725398,0.005724839,0.005724281,0.005723723
23.27327327,0.005632807,0.005767299,0.005767201,0.005766176,0.005765614,0.005765053,0.005764491,0.00576393,0.005763369,0.005762808,0.005762247
23.42342342,0.005670874,0.005806261,0.005806163,0.005805133,0.005804568,0.005804004,0.00580344,0.005802876,0.005802312,0.005801748,0.005801184
23.57357357,0.005709352,0.005845643,0.005845545,0.005844508,0.005843941,0.005843374,0.005842807,0.00584224,0.005841674,0.005841107,0.005840541
23.72372372,0.005748244,0.005885449,0.005885351,0.005884309,0.005883739,0.005883169,0.005882599,0.00588203,0.00588146,0.005880891,0.005880322
23.87387387,0.005787559,0.005925686,0.005925589,0.00592454,0.005923968,0.005923395,0.005922823,0.00592225,0.005921678,0.005921106,0.005920534
24.02402402,0.005827301,0.00596636,0.005966264,0.005965209,0.005964634,0.005964058,0.005963483,0.005962907,0.005962332,0.005961757,0.005961182
24.17417417,0.005867476,0.006007478,0.006007382,0.006006321,0.006005743,0.006005165,0.006004586,0.006004008,0.00600343,0.006002852,0.006002275
24.32432432,0.005908092,0.006049046,0.00604895,0.006047883,0.006047302,0.006046721,0.00604614,0.006045559,0.006044978,0.006044397,0.006043816
24.47447447,0.005949154,0.00609107,0.006090975,0.006089902,0.006089318,0.006088734,0.00608815,0.006087566,0.006086982,0.006086398,0.006085815
24.62462462,0.00599067,0.006133558,0.006133463,0.006132383,0.006131796,0.006131209,0.006130622,0.006130036,0.006129449,0.006128862,0.006128276
24.77477477,0.006032645,0.006176515,0.00617642,0.006175335,0.006174745,0.006174155,0.006173565,0.006172975,0.006172386,0.006171796,0.006171207
24.92492492,0.006075086,0.006219949,0.006219855,0.006218763,0.00621817,0.006217577,0.006216985,0.006216392,0.006215799,0.006215207,0.006214614
25.07507508,0.006118001,0.006263868,0.006263774,0.006262675,0.006262079,0.006261484,0.006260888,0.006260292,0.006259697,0.006259101,0.006258506
25.22522523,0.006161396,0.006308277,0.006308183,0.006307079,0.00630648,0.006305881,0.006305282,0.006304683,0.006304085,0.006303486,0.006302888
25.37537538,0.006205279,0.006353185,0.006353092,0.00635198,0.006351378,0.006350777,0.006350175,0.006349573,0.006348971,0.00634837,0.006347769
25.52552553,0.006249656,0.006398598,0.006398506,0.006397388,0.006396783,0.006396178,0.006395573,0.006394969,0.006394364,0.006393759,0.006393155
25.67567568,0.006294537,0.006444526,0.006444434,0.006443309,0.006442701,0.006442093,0.006441485,0.006440877,0.00644027,0.006439662,0.006439055
25.82582583,0.006339927,0.006490974,0.006490883,0.006489752,0.00648914,0.006488529,0.006487918,0.006487308,0.006486697,0.006486086,0.006485476
25.97597598,0.006385835,0.006537952,0.006537861,0.006536723,0.006536109,0.006535495,0.006534881,0.006534267,0.006533653,0.006533039,0.006532426
26.12612613,0.006432268,0.006585467,0.006585377,0.006584232,0.006583615,0.006582998,0.006582381,0.006581764,0.006581147,0.00658053,0.006579913
26.27627628,0.006479236,0.006633528,0.006633439,0.006632287,0.006631667,0.006631046,0.006630426,0.006629806,0.006629186,0.006628566,0.006627946
26.42642643,0.006526745,0.006682143,0.006682055,0.006680896,0.006680272,0.006679649,0.006679025,0.006678402,0.006677778,0.006677155,0.006676532
26.57657658,0.006574805,0.006731321,0.006731233,0.006730067,0.00672944,0.006728813,0.006728187,0.00672756,0.006726934,0.006726307,0.006725681
26.72672673,0.006623424,0.00678107,0.006780983,0.00677981,0.00677918,0.00677855,0.00677792,0.00677729,0.00677666,0.006776031,0.006775401
26.87687688,0.006672611,0.0068314,0.006831313,0.006830133,0.006829499,0.006828866,0.006828233,0.0068276,0.006826967,0.006826334,0.006825701
27.02702703,0.006722375,0.006882318,0.006882232,0.006881045,0.006880408,0.006879772,0.006879135,0.006878499,0.006877863,0.006877227,0.006876591
27.17717718,0.006772724,0.006933836,0.006933751,0.006932556,0.006931916,0.006931276,0.006930637,0.006929997,0.006929358,0.006928718,0.006928079
27.32732733,0.006823669,0.006985962,0.006985877,0.006984675,0.006984032,0.006983389,0.006982746,0.006982103,0.00698146,0.006980818,0.006980175
27.47747748,0.006875218,0.007038705,0.007038622,0.007037412,0.007036766,0.007036119,0.007035473,0.007034827,0.007034181,0.007033535,0.007032889
27.62762763,0.006927381,0.007092077,0.007091994,0.007090777,0.007090127,0.007089477,0.007088828,0.007088178,0.007087529,0.007086879,0.00708623
27.77777778,0.006980169,0.007146086,0.007146004,0.00714478,0.007144126,0.007143473,0.00714282,0.007142167,0.007141514,0.007140862,0.007140209
27.92792793,0.00703359,0.007200744,0.007200662,0.00719943,0.007198774,0.007198117,0.007197461,0.007196804,0.007196148,0.007195492,0.007194836
28.07807808,0.007087657,0.00725606,0.007255979,0.00725474,0.00725408,0.00725342,0.00725276,0.0072521,0.00725144,0.007250781,0.007250121
28.22822823,0.007142378,0.007312046,0.007311966,0.007310718,0.007310055,0.007309391,0.007308728,0.007308065,0.007307402,0.007306739,0.007306076
28.37837838,0.007197766,0.007368711,0.007368633,0.007367377,0.00736671,0.007366043,0.007365377,0.00736471,0.007364043,0.007363377,0.00736271
28.52852853,0.00725383,0.007426069,0.007425991,0.007424728,0.007424057,0.007423387,0.007422717,0.007422046,0.007421376,0.007420706,0.007420036
